날짜,최고기온(℃),서울_3층_평균온도
"	2026-05-01",24.3,23.9
"	2026-05-02",22.4,23.4
"	2026-05-03",15.5,21
"	2026-05-04",19.9,22.3
"	2026-05-05",21.2,23.7
"	2026-05-06",23.8,22.6
"	2026-05-07",20.3,24.6
"	2026-05-08",20.4,23.6
"	2026-05-09",22.7,25.7
"	2026-05-10",24.5,25.5
"	2026-05-11",20.9,24.5
"	2026-05-12",24.5,23.6
"	2026-05-13",26.2,25.4
"	2026-05-14",31.5,23.7
"	2026-05-15",31.3,24.1
"	2026-05-16",29.9,28.9
"	2026-05-17",29.4,29.4
"	2026-05-18",30.1,26.1
"	2026-05-19",25.5,27.9
"	2026-05-20",21.8,23.8
"	2026-05-21",20.2,24.6
"	2026-05-22",27,24.9
"	2026-05-23",24.7,24.2
"	2026-05-24",29.2,27
"	2026-05-25",29.8,28.6
"	2026-05-26",29,28.2
"	2026-05-27",25.1,25.7
"	2026-05-28",26.5,23.5
"	2026-05-29",26.9,22.3
"	2026-05-30",29,21.2
"	2026-05-31",30.9,21.1
,,
,,
,,
,,
,,
,,
"	",,
