날짜,최고기온(℃),광주_평균온도
"	2026-05-01",24.3,20.5
"	2026-05-02",22.4,20.1
"	2026-05-03",15.5,19.8
"	2026-05-04",19.9,21.2
"	2026-05-05",21.2,19.4
"	2026-05-06",23.8,21.4
"	2026-05-07",20.3,20.6
"	2026-05-08",20.4,21.4
"	2026-05-09",22.7,20
"	2026-05-10",24.5,20.2
"	2026-05-11",20.9,22.7
"	2026-05-12",24.5,23.4
"	2026-05-13",26.2,22.8
"	2026-05-14",31.5,24.3
"	2026-05-15",31.3,23.6
"	2026-05-16",29.9,22.4
"	2026-05-17",29.4,22.3
"	2026-05-18",30.1,24.7
"	2026-05-19",25.5,24.6
"	2026-05-20",21.8,22.4
"	2026-05-21",20.2,21.9
"	2026-05-22",27,23.3
"	2026-05-23",24.7,22
"	2026-05-24",29.2,22.4
"	2026-05-25",29.8,22.8
"	2026-05-26",29,24.8
"	2026-05-27",25.1,24.6
"	2026-05-28",26.5,24.3
"	2026-05-29",26.9,24.2
"	2026-05-30",29,23.1
"	2026-05-31",30.9,22.9
,,
,,
,,
,,
,,
,,
"	",,
