일자,강원_평균가동시간,부천_평균가동시간,인천_평균가동시간
2026-05-01,0,0,0
2026-05-02,0,0,0
2026-05-03,0,0,0
2026-05-04,0,1.79,0
2026-05-05,0,0,0
2026-05-06,0,2.34,0
2026-05-07,0,5.67,1.69
2026-05-08,0,5.67,0.97
2026-05-09,0,0,0
2026-05-10,0,0,0
2026-05-11,0.02,5.63,1.42
2026-05-12,0,5.5,0.19
2026-05-13,0.02,5.5,0.61
2026-05-14,0,5.46,1.25
2026-05-15,0.27,5.46,0.33
2026-05-16,0,0,0
2026-05-17,0,0,0
2026-05-18,0.03,5.54,0.36
2026-05-19,2.5,5.67,0.33
2026-05-20,0.75,5.59,0.03
2026-05-21,0.02,5.5,0.03
2026-05-22,3.3,5,0
2026-05-23,0.02,0,0
2026-05-24,0,0,0
2026-05-25,0,0,0
2026-05-26,0,5.34,2.44
2026-05-27,0.68,5.54,1.36
2026-05-28,0.12,1.46,1.47
2026-05-29,2.75,5.46,1
2026-05-30,0,0,1.53
2026-05-31,0,0,0.06
