일자,대전_평균가동시간,안동_평균가동시간,예산_평균가동시간,충북_평균가동시간
2026-05-01,0,0,1.25,0
2026-05-02,0,0,1.19,0
2026-05-03,0,0,1.33,0.04
2026-05-04,0,0,0.31,0.09
2026-05-05,0,0,0,0
2026-05-06,0.17,0,0,0
2026-05-07,0.04,0,0,0.04
2026-05-08,0,0,0,0
2026-05-09,0,0,0,0
2026-05-10,0,0,0,0.09
2026-05-11,0.25,0,0,0.04
2026-05-12,0,0,0,0
2026-05-13,0,0,0,0.04
2026-05-14,0,0,0,0.13
2026-05-15,0,0.01,0,0.04
2026-05-16,0,0,0,0
2026-05-17,0,0,0,0
2026-05-18,0,0.5,0,0.04
2026-05-19,0,0.46,0,0
2026-05-20,1,0,0,0.04
2026-05-21,4.21,0,0,0.04
2026-05-22,3.84,0,0.17,0
2026-05-23,5.75,0,0,0.17
2026-05-24,5.75,0,0,0
2026-05-25,1.17,0,0,0.08
2026-05-26,6.17,2.28,0,0.09
2026-05-27,6.25,0,0,0.04
2026-05-28,5,1.13,0,0
2026-05-29,6.09,1.61,0,0
2026-05-30,0,0.15,0,0
2026-05-31,0,0,0,0
