일자,광주_평균가동시간,대구_평균가동시간,무안_평균가동시간,부산_평균가동시간,울산_평균가동시간,전북_평균가동시간,제주_평균가동시간,진주_평균가동시간
2026-05-01,0,0,0,0,0,0,0,0
2026-05-02,0,0,0,0,0,0,0,0
2026-05-03,0,0,0,0,0,0,0,0
2026-05-04,0.08,0,3.88,0,0,0,0,0
2026-05-05,0,0,0,0,0,0,0,0
2026-05-06,0.92,0,0,0.17,0,0.06,0,0
2026-05-07,0,0,0,0.54,0,0.02,0,0
2026-05-08,0.13,0,0,0,0,0.23,0.08,0
2026-05-09,0,0,0,0,0,0,0.08,0
2026-05-10,0,0,0,0,0,0,0,0
2026-05-11,1.52,0,0,1.21,0,1.15,0,0
2026-05-12,1.7,0,0,2.13,0,0.46,0,0
2026-05-13,1.57,0,0,4.67,0,0.04,0,0
2026-05-14,1.62,0,0,0,0,1.54,0.03,0
2026-05-15,2.32,0,0,0,0,0.02,0.03,0
2026-05-16,0,0,0,0,0,0,0,0
2026-05-17,0,0,0,0,0,0,0,0
2026-05-18,2.48,0,0,4.34,0,2.15,0,0
2026-05-19,3.6,0,0.5,1.75,0,0.02,0.03,0
2026-05-20,0.9,0.42,0,0.96,0,0,0,0
2026-05-21,0,0,0,5.58,0.03,0.31,0.03,0
2026-05-22,2.47,0,0,3.88,0,1.25,0,0
2026-05-23,0,0,0,0,0,0,0,0
2026-05-24,0,0,0,0,0,0,0,0
2026-05-25,0.22,0,0,0,0,0,0,0
2026-05-26,2.47,0,0,3.54,0,1.88,1.08,0
2026-05-27,1.37,0,2.21,0,0,2.1,2.03,0
2026-05-28,1.38,0,0,2.79,6,3.31,0.06,0
2026-05-29,2.98,0.09,0,2.25,0.03,1.48,0,0
2026-05-30,0.05,0,0,0,0,0,0,0
2026-05-31,0.88,0,0,0,0,0,0,0
