일자,공주_평균가동시간,광주_평균가동시간,아산_평균가동시간,안동_평균가동시간,익산_평균가동시간,제주_평균가동시간,진주_평균가동시간
2026-05-01,0,0.39,0,0,0,0,0
2026-05-02,0,0.28,0,0,0,0,0.4
2026-05-03,0,0.24,0,0,0,0,0.18
2026-05-04,0,0.28,0,0,3.31,0.2,0.38
2026-05-05,0,0.33,0,0,0,0,0.02
2026-05-06,0.81,1.18,0,0,4.08,0.02,0.87
2026-05-07,0.38,0.39,0.01,0,5.42,0.05,1.73
2026-05-08,1,0.5,0,0,3.33,0.03,2.22
2026-05-09,0,0.43,0,0,0.72,0,0
2026-05-10,0,0,0,0,0.06,0,0.05
2026-05-11,0,0.21,0,0.46,4.36,0.02,0.98
2026-05-12,0.63,0.74,0,0.71,2.61,0.1,0.05
2026-05-13,1.31,0.07,0,0.43,3.91,0,1.03
2026-05-14,1.08,0.07,0.57,0.74,2.75,0.13,0.2
2026-05-15,4.27,0.76,0,2.22,0.61,0.02,0.05
2026-05-16,0,0.94,0,0,0.5,0,0
2026-05-17,0,0.63,0,0,2.42,0,0.02
2026-05-18,3.75,1.99,0.13,1.01,6.11,0.65,3.4
2026-05-19,1.69,1.12,0.03,0.5,5.61,0.42,1.4
2026-05-20,1.27,2.06,0,1.42,4.2,0,1.17
2026-05-21,0.94,1.82,0.04,0,0.78,0,3.37
2026-05-22,2.08,3.76,0,0.08,4.39,0,2.38
2026-05-23,0,0.49,0,0,0.58,0,0
2026-05-24,0,0.22,0,0,0.33,0,0.02
2026-05-25,0,0.31,0,0,1,0,0
2026-05-26,2.92,2.06,1.71,1.14,2.33,3.27,4.08
2026-05-27,2.08,1.63,1.85,3.78,1.61,1.28,0.27
2026-05-28,4.13,0.9,1.78,3.1,0.19,1.97,4.52
2026-05-29,4.9,3.92,0.56,0.76,0.61,3.82,3.43
2026-05-30,0,0.88,0,0,0.61,0.02,0.47
2026-05-31,0,0.21,0,0,0.83,0,0.07
